Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
InfoRequestPage_Suites,Firefox 72.0,Send Info request to Zeenyx,,2020-01-16 15:07:40,2020-01-16 15:08:06,25.932s,INCOMPLETE
,,,,,,,
Test Cases/Zeenyx/HomePage,Firefox 72.0,Navigating to Zeenyx Info request page,,2020-01-16 15:07:40,2020-01-16 15:07:58,17.677s,PASSED
"openBrowser("""")",Firefox 72.0,,,2020-01-16 15:07:40,2020-01-16 15:07:46,5.649s,PASSED
"navigateToUrl(""http://www.zeenyx.com/"")",Firefox 72.0,,,2020-01-16 15:07:46,2020-01-16 15:07:54,7.784s,PASSED
"mouseOver(findTestObject(""Zeenyx/ZeenyxMainPage/Lnk_CONTACT""))",Firefox 72.0,,,2020-01-16 15:07:54,2020-01-16 15:07:54,0.294s,PASSED
"waitForElementVisible(findTestObject(""Zeenyx/ZeenyxMainPage/Lnk_Info Request""), 5)",Firefox 72.0,,,2020-01-16 15:07:54,2020-01-16 15:07:55,0.780s,PASSED
"click(findTestObject(""Zeenyx/ZeenyxMainPage/Lnk_Info Request""))",Firefox 72.0,,,2020-01-16 15:07:55,2020-01-16 15:07:58,2.771s,PASSED
"bPresent = waitForElementVisible(findTestObject(""Object Repository/Zeenyx/Zeenyx InformationRequest_Page/Txt_FirstName""), 5)",Firefox 72.0,,,2020-01-16 15:07:58,2020-01-16 15:07:58,0.123s,PASSED
if (bPresent == true),Firefox 72.0,,,2020-01-16 15:07:58,2020-01-16 15:07:58,0.004s,PASSED
,,,,,,,
Test Cases/InfoRequest/EnterDetails_ZeenyxInfoRequestPage,Firefox 72.0,Enter details in Zeenyx information page,,2020-01-16 15:07:58,2020-01-16 15:08:06,8.074s,PASSED
driver = getWebDriver(),Firefox 72.0,,,2020-01-16 15:07:58,2020-01-16 15:07:58,0.001s,PASSED
"setText(findTestObject(""Zeenyx/Zeenyx InformationRequest_Page/Txt_FirstName""), FirstName)",Firefox 72.0,,,2020-01-16 15:07:58,2020-01-16 15:07:58,0.114s,PASSED
"setText(findTestObject(""Zeenyx/Zeenyx InformationRequest_Page/Txt_LastName""), SecondName)",Firefox 72.0,,,2020-01-16 15:07:58,2020-01-16 15:07:58,0.105s,PASSED
"setText(findTestObject(""Zeenyx/Zeenyx InformationRequest_Page/Txt_CompanyName""), CompanyName)",Firefox 72.0,,,2020-01-16 15:07:58,2020-01-16 15:07:58,0.115s,PASSED
"setText(findTestObject(""Zeenyx/Zeenyx InformationRequest_Page/Txt_ZipCode""), ZipCode)",Firefox 72.0,,,2020-01-16 15:07:58,2020-01-16 15:07:58,0.114s,PASSED
"iNo_States = getNumberOfTotalOption(findTestObject(""Zeenyx/Zeenyx InformationRequest_Page/Pop_State""))",Firefox 72.0,,,2020-01-16 15:07:58,2020-01-16 15:07:59,0.138s,PASSED
"sSearchState = ""WA""",Firefox 72.0,,,2020-01-16 15:07:59,2020-01-16 15:07:59,0.001s,PASSED
log = new com.kms.katalon.core.logging.KeywordLogger(),Firefox 72.0,,,2020-01-16 15:07:59,2020-01-16 15:07:59,0.001s,PASSED
"for ([i = 1, i <= iNo_States, (i++)])",Firefox 72.0,,,2020-01-16 15:07:59,2020-01-16 15:08:02,3.328s,ERROR
"click(findTestObject(""Zeenyx/Zeenyx InformationRequest_Page/Rbn_RequestType""))",Firefox 72.0,,,2020-01-16 15:08:02,2020-01-16 15:08:02,0.288s,PASSED
"click(findTestObject(""Zeenyx/Zeenyx InformationRequest_Page/Chk_FirstTimeContact""))",Firefox 72.0,,,2020-01-16 15:08:02,2020-01-16 15:08:03,0.293s,PASSED
closeBrowser(),Firefox 72.0,,,2020-01-16 15:08:03,2020-01-16 15:08:06,3.359s,PASSED
