Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
InfoRequestPage_Suites,Firefox 72.0,Send Info request to Zeenyx,,2020-01-16 14:19:29,2020-01-16 14:20:04,35.335s,INCOMPLETE
,,,,,,,
Test Cases/Zeenyx/HomePage,Firefox 72.0,Navigating to Zeenyx Info request page,,2020-01-16 14:19:29,2020-01-16 14:19:54,25.346s,PASSED
"openBrowser("""")",Firefox 72.0,,,2020-01-16 14:19:29,2020-01-16 14:19:35,5.384s,PASSED
"navigateToUrl(""http://www.zeenyx.com/"")",Firefox 72.0,,,2020-01-16 14:19:35,2020-01-16 14:19:45,10.951s,PASSED
"mouseOver(findTestObject(""Zeenyx/ZeenyxMainPage/Lnk_CONTACT""))",Firefox 72.0,,,2020-01-16 14:19:45,2020-01-16 14:19:46,0.272s,PASSED
"waitForElementVisible(findTestObject(""Zeenyx/ZeenyxMainPage/Lnk_Info Request""), 5)",Firefox 72.0,,,2020-01-16 14:19:46,2020-01-16 14:19:51,5.316s,PASSED
"click(findTestObject(""Zeenyx/ZeenyxMainPage/Lnk_Info Request""))",Firefox 72.0,,,2020-01-16 14:19:51,2020-01-16 14:19:54,2.919s,PASSED
"bPresent = waitForElementVisible(findTestObject(""Object Repository/Zeenyx/Zeenyx InformationRequest_Page/Txt_FirstName""), 5)",Firefox 72.0,,,2020-01-16 14:19:54,2020-01-16 14:19:54,0.124s,PASSED
if (bPresent == true),Firefox 72.0,,,2020-01-16 14:19:54,2020-01-16 14:19:54,0.003s,PASSED
,,,,,,,
Test Cases/InfoRequest/EnterDetails_ZeenyxInfoRequestPage,Firefox 72.0,Enter details in Zeenyx information page,,2020-01-16 14:19:54,2020-01-16 14:20:04,9.810s,PASSED
driver = getWebDriver(),Firefox 72.0,,,2020-01-16 14:19:54,2020-01-16 14:19:54,0.002s,PASSED
"setText(findTestObject(""Zeenyx/Zeenyx InformationRequest_Page/Txt_FirstName""), FirstName)",Firefox 72.0,,,2020-01-16 14:19:54,2020-01-16 14:19:55,0.125s,PASSED
"setText(findTestObject(""Zeenyx/Zeenyx InformationRequest_Page/Txt_LastName""), SecondName)",Firefox 72.0,,,2020-01-16 14:19:55,2020-01-16 14:19:55,0.105s,PASSED
"setText(findTestObject(""Zeenyx/Zeenyx InformationRequest_Page/Txt_CompanyName""), CompanyName)",Firefox 72.0,,,2020-01-16 14:19:55,2020-01-16 14:19:55,0.112s,PASSED
"setText(findTestObject(""Zeenyx/Zeenyx InformationRequest_Page/Txt_ZipCode""), ZipCode)",Firefox 72.0,,,2020-01-16 14:19:55,2020-01-16 14:19:55,0.105s,PASSED
"iNo_States = getNumberOfTotalOption(findTestObject(""Zeenyx/Zeenyx InformationRequest_Page/Pop_State""))",Firefox 72.0,,,2020-01-16 14:19:55,2020-01-16 14:19:55,0.143s,PASSED
"sSearchState = ""WA""",Firefox 72.0,,,2020-01-16 14:19:55,2020-01-16 14:19:55,0.001s,PASSED
log = new com.kms.katalon.core.logging.KeywordLogger(),Firefox 72.0,,,2020-01-16 14:19:55,2020-01-16 14:19:55,0.001s,PASSED
"for ([i = 1, i <= iNo_States, (i++)])",Firefox 72.0,,,2020-01-16 14:19:55,2020-01-16 14:19:58,3.370s,ERROR
"click(findTestObject(""Zeenyx/Zeenyx InformationRequest_Page/Rbn_RequestType""))",Firefox 72.0,,,2020-01-16 14:19:58,2020-01-16 14:19:59,0.299s,PASSED
"click(findTestObject(""Zeenyx/Zeenyx InformationRequest_Page/Chk_FirstTimeContact""))",Firefox 72.0,,,2020-01-16 14:19:59,2020-01-16 14:19:59,0.291s,PASSED
closeBrowser(),Firefox 72.0,,,2020-01-16 14:19:59,2020-01-16 14:20:04,4.957s,PASSED
